Rank,Country/Region,Cost index,Ø Monthly income (USD),Purchasing power index
1,Bermuda *,144.1,"11,690",116.3
2,Cayman Islands *,140.1,"5,148",52.7
3,Turks and Caicos Islands *,131.7,"2,891",31.5
4,Switzerland,125.8,"7,992",91.2
5,Barbados,124.4,"1,972",22.7
6,Iceland,116.7,"6,540",80.4
7,Bahamas,110.7,"2,962",38.4
8,Vanuatu,107.4,328,4.4
9,New Caledonia *,105.3,"3,082",42.0
10,Denmark,103.1,"6,149",85.5
11,Virgin Islands *,101.0,"1,161",16.5
12,Israel,100.5,"4,412",62.9
13,United States,100.0,"6,972",100.0
14,Ireland,99.5,"6,493",93.6
15,Palau,99.3,"1,173",16.9
16,Luxembourg,95.8,"7,623",114.2
17,Marshall Islands,95.2,698,10.5
18,Faroe Islands *,94.7,"6,017",91.1
19,Australia,94.7,"5,213",78.9
20,Micronesia,92.7,354,5.5
21,French Polynesia *,92.4,"2,106",32.7
22,Solomon Islands,90.2,173,2.8
23,United Kingdom,89.9,"4,051",64.6
24,New Zealand,89.9,"3,857",61.5
25,Puerto Rico *,89.7,"2,161",34.6
26,Norway,89.4,"8,190",131.4
27,Finland,89.0,"4,309",69.4
28,Canada,87.4,"4,445",72.9
29,Sint Maarten *,85.9,"3,074",51.4
30,Tuvalu,85.4,731,12.3
31,Aruba *,84.5,"2,510",42.6
32,Belgium,84.0,"4,570",78.0
33,Netherlands,83.6,"5,237",89.8
34,Sweden,83.0,"4,902",84.7
35,Antigua and Barbuda,82.2,"1,782",31.1
36,Austria,81.4,"4,513",79.6
37,Haiti,81.1,147,2.6
38,France,80.2,"3,765",67.4
39,San Marino,79.9,"4,494",80.6
40,Greenland *,79.6,"1,608",29.0
41,Saint Kitts and Nevis,79.5,"1,859",33.5
42,Curaçao *,78.7,"1,749",31.9
43,Germany,78.3,"4,580",83.9
44,Singapore,78.0,"6,229",114.6
45,Tonga,77.9,460,8.5
46,Qatar,75.7,"6,393",121.1
47,Nauru,75.4,"1,772",33.7
48,Hong Kong *,74.8,"4,758",91.2
49,Uruguay,72.9,"1,798",35.4
50,Estonia,72.1,"2,392",47.6
51,Papua New Guinea,70.6,245,5.0
52,Italy,70.3,"3,191",65.1
53,United Arab Emirates,69.8,"4,125",84.8
54,Samoa,69.3,388,8.0
55,Andorra,69.1,"4,073",84.5
56,South Korea,68.4,"2,958",62.0
57,Costa Rica,67.6,"1,302",27.6
58,Cyprus,66.9,"2,748",58.9
59,Japan,66.8,"3,003",64.4
60,Malta,66.0,"2,888",62.7
