Country Name,Country Code,Indicator Name,Indicator Code,2020,2021,2022,2023,2024
Aruba,ABW,Urban population (% of total population),SP.URB.TOTL.IN.ZS,43.697,43.866,44.052,44.254,44.474
Africa Eastern and Southern,AFE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,36.88403448,37.39363253,37.90901202,38.42489805,38.94911407
Afghanistan,AFG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,26.026,26.314,26.616,26.933,27.265
Africa Western and Central,AFW,Urban population (% of total population),SP.URB.TOTL.IN.ZS,47.93102096,48.53197106,49.12980799,49.71118412,50.28093441
Angola,AGO,Urban population (% of total population),SP.URB.TOTL.IN.ZS,66.825,67.46,68.081,68.688,69.281
Albania,ALB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,62.112,62.969,63.799,64.603,65.38
Andorra,AND,Urban population (% of total population),SP.URB.TOTL.IN.ZS,87.916,87.858,87.811,87.774,87.747
Arab World,ARB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,58.49667413,58.6629266,59.05426702,59.4670503,59.88367215
United Arab Emirates,ARE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,87.048,87.299,87.543,87.779,88.008
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,92.111,92.229,92.347,92.463,92.579
Armenia,ARM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,63.313,63.431,63.573,63.739,63.929
American Samoa,ASM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,87.153,87.169,87.196,87.235,87.284
Antigua and Barbuda,ATG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,24.433,24.38,24.346,24.332,24.338
Australia,AUS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,86.241,86.362,86.488,86.617,86.75
Austria,AUT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,58.748,58.995,59.256,59.53,59.819
Azerbaijan,AZE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,56.397,56.776,57.17,57.577,57.997
Burundi,BDI,Urban population (% of total population),SP.URB.TOTL.IN.ZS,13.708,14.058,14.417,14.784,15.16
Belgium,BEL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,98.079,98.117,98.153,98.189,98.224
Benin,BEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,48.415,48.972,49.534,50.1,50.669
Burkina Faso,BFA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,30.607,31.24,31.877,32.52,33.166
